"dist","area","totArea","prop"
1,3.12569216771053,3.14159265358979,0.994938718149504
2,9.37411056105263,9.42477796076938,0.994624021920978
3,15.3660748075439,15.707963267949,0.97823470461618
4,19.8775280789474,21.9911485751286,0.903887671489263
5,22.0948882364561,28.2743338823081,0.781446817754437
6,22.8107276591316,34.5575191894877,0.660080011358875
7,21.8939542908772,40.8407044966673,0.536081699880172
8,19.2783498655351,47.1238898038469,0.409099290100651
9,15.9367649835702,53.4070751110265,0.29840175576812
10,11.3256821413246,59.6902604182061,0.189740873334674
11,7.34053358158772,65.9734457253857,0.111264971851594
12,5.90120262488597,72.2566310325652,0.0816700493858669
13,5.31716747548246,78.5398163397448,0.067700278957639
14,5.08583245625439,84.8230016469244,0.059958175937043
15,4.96840206507895,91.106186954104,0.0545341895120893
16,4.92623170939474,97.3893722612836,0.0505828469268522
17,4.93206436900877,103.672557568463,0.0475734802409185
18,4.94910118880702,109.955742875643,0.0450099381748921
19,4.92130261147368,116.238928182822,0.0423378182198427
20,4.92385549064912,122.522113490002,0.0401874841234347
21,4.96834079397368,128.805298797182,0.0385724876256597
22,5.07507992405263,135.088484104361,0.0375685607674148
23,5.36758632007017,141.371669411541,0.0379679064582935
24,5.93207054017544,147.65485471872,0.0401752489037758
25,6.52899674692105,153.9380400259,0.0424131471715669
26,7.02932535000877,160.221225333079,0.0438726225903946
27,7.44853456944737,166.504410640259,0.0447347583214495
28,7.4898125096579,172.787595947439,0.0433469339543116
29,7.37893777733333,179.070781254618,0.0412068218256184
30,7.14072966626316,185.353966561798,0.0385248279209736
31,7.00453161254386,191.637151868977,0.0365510108255672
32,6.84010383364035,197.920337176157,0.0345598836947837
33,6.63594801610526,204.203522483337,0.0324967362727387
34,6.44555356734211,210.486707790516,0.0306221406330178
35,6.35403071952632,216.769893097696,0.0293123303643584
36,6.26091928395614,223.053078404875,0.0280691902067884
37,6.19203213048246,229.336263712055,0.0269997951054828
38,6.17989626216667,235.619449019234,0.0262282943445054
39,6.15384144742105,241.902634326414,0.0254393320872947
40,6.16507452460526,248.185819633594,0.0248405591169834
41,6.2334938284386,254.469004940773,0.0244960828525636
42,6.31114658830702,260.752190247953,0.0242036187013642
43,6.23759076307018,267.035375555132,0.0233586683041639
44,6.17796556365789,273.318560862312,0.0226035346599462
45,6.2123358425,279.601746169492,0.0222185158984456
46,6.11992767475439,285.884931476671,0.0214069613363088
47,6.04314988457017,292.168116783851,0.020683810236012
48,5.97403770163158,298.45130209103,0.0200167922196213
49,5.91537724571053,304.73448739821,0.019411577915632
50,5.83725069429825,311.01767270539,0.0187682283245286
51,5.7860749505,317.300858012569,0.0182352956331142
52,5.79811421368421,323.584043319749,0.0179184182081402
53,5.88090000128947,329.867228626928,0.0178280820006544
54,5.89990512961404,336.150413934108,0.0175513843953515
55,5.94825774536842,342.433599241287,0.0173705435405511
56,5.9153827997807,348.716784548467,0.016963286718304
57,5.88498072707895,354.999969855647,0.0165774119064628
58,5.84116293621053,361.283155162826,0.0161678252991839
59,5.79789269824561,367.566340470006,0.0157737313237982
60,5.75090687147368,373.849525777185,0.0153829454765745
61,5.71085533892105,380.132711084365,0.0150233199416864
62,5.68899186037719,386.415896391545,0.0147224581429039
63,5.63839036542982,392.699081698724,0.014358043163838
64,5.69929472192105,398.982267005904,0.0142845815296265
65,5.71917673835088,405.265452313083,0.0141121743926314
66,5.72768675219298,411.548637620263,0.0139173993754729
67,5.7154632092807,417.831822927442,0.0136788604784495
68,5.74018878031579,424.115008234622,0.013534509906191
69,5.69231984864912,430.398193541802,0.0132257057163886
70,5.70279300484211,436.681378848981,0.013059391311518
71,5.79975894392982,442.964564156161,0.01309305396692
72,5.8753699404386,449.24774946334,0.0130782401190816
73,5.87537650460526,455.53093477052,0.0128978650101229
74,5.86737342281579,461.8141200777,0.0127050541932945
75,5.8657678026579,468.097305384879,0.0125310864539905
76,5.91211381451754,474.380490692059,0.012462809770892
77,6.03197034329825,480.663675999238,0.0125492535518906
78,6.35588606969298,486.946861306418,0.0130525249770394
79,6.53852213388596,493.230046613597,0.0132565365366079
80,6.5921776004386,499.513231920777,0.0131972031553393
81,6.62973393721053,505.796417227957,0.0131075146272192
82,6.46338105871053,512.079602535136,0.0126218287678565
83,6.25142215791228,518.362787842316,0.0120599362155872
84,6.14436357814912,524.645973149495,0.0117114471331286
85,6.10006793977193,530.929158456675,0.0114894197137408
86,6.04239657747368,537.212343763855,0.011247687525456
87,5.95232115365789,543.495529071034,0.0109519229419088
88,5.99976490400877,549.778714378214,0.0109130541927116
89,6.10997711992982,556.061899685393,0.0109879441900024
90,6.19880152136842,562.345084992573,0.0110231274119703
91,6.25680182463158,568.628270299753,0.0110033252854863
92,6.22309163164035,574.911455606932,0.0108244349124521
93,6.04403591842982,581.194640914112,0.0103993318123575
94,6.03123633014912,587.477826221291,0.0102663216566701
95,6.04217889947368,593.761011528471,0.0101761125809184
96,6.01375983589474,600.04419683565,0.0100221948109964
97,5.81657886523684,606.32738214283,0.00959313241747452
98,5.45045115884211,612.61056745001,0.00889708968216072
99,4.74073112929825,618.893752757189,0.00766000805175065
100,3.74064226661404,625.176938064369,0.00598333373939794
