"seedDistn","gamma","llog","norm","notConverge","weibull"
"gammaSmallWD",0.3295,0.2715,0.16325,0.00175,0.234
"gammaSmallWL",0.156,0.038,0.167,0,0.639
"llogSmallWD",0.358429214607304,0.261630815407704,0.0852926463231616,0.00925462731365683,0.285392696348174
"llogSmallWL",0.235,0.117,0.109,0,0.539
"normSmallWD",0.263,0.1725,0.34675,0.005,0.21275
"normSmallWL",0.019,0.003,0.491,0,0.487
"weibullSmallWD",0.3088272068017,0.241310327581895,0.21055263815954,0.010752688172043,0.228557139284821
"weibullSmallWL",0.085,0.029,0.274,0,0.612
"gammaMidWD",0.396,0.36175,0.044,5e-04,0.19775
"gammaMidWL",0.18,0.006,0.005,0,0.809
"llogMidWD",0.374,0.43025,0.01925,0,0.1765
"llogMidWL",0.536,0.06,0.001,0,0.403
"normMidWD",0.251,0.12575,0.3735,0.002,0.24775
"normMidWL",0,0,0.236,0,0.764
"weibullMidWD",0.36275,0.3025,0.11,5e-04,0.22425
"weibullMidWL",0.039,0.001,0.043,0,0.917
"gammaBigWD",0.49375,0.34375,0.00975,0,0.15275
"gammaBigWL",0.154,0,0,0,0.846
"llogBigWD",0.39175,0.53175,5e-04,0.00025,0.07575
"llogBigWL",0.727,0.025,0,0,0.248
"normBigWD",0.2645,0.0955,0.372,0.001,0.267
"normBigWL",0,0,0.082,0,0.918
"weibullBigWD",0.4365,0.264,0.0605,0.00025,0.23875
"weibullBigWL",0.009,0,0.001,0,0.99
